id,domain,type,difficulty,stem,optionA,weightA,optionB,weightB,optionC,weightC,optionD,weightD,explanation_overview,explanation_optionNotes,timeSuggestedSec
CISSP_Q015,Communication & Network Security,MCQ,3,What is the best control to mitigate VLAN hopping attacks?,Disable DTP and use access ports,1,Enable trunking everywhere,0,Increase MTU,0,Use static ARP,0,Disable dynamic trunking and limit trunks to mitigate VLAN hopping.,"{""A"": ""Turn off DTP, lock ports as access."", ""D"": ""Static VLAN assignments help."", ""C"": ""Unrelated."", ""B"": ""Expands attack surface.""}",75
CISSP_Q016,Communication & Network Security,MCQ,1,Which wireless security configuration is most secure for enterprise WLANs?,WPA2-PSK,0,WPA3-Enterprise (802.1X),1,WEP with long keys,0,Open with captive portal,0,WPA3-Enterprise with 802.1X/EAP provides the strongest enterprise WLAN auth.,"{""B"": ""Strongest enterprise option."", ""A"": ""PSK is weaker/shared secrets."", ""C"": ""WEP is broken."", ""D"": ""Captive portal is not encryption.""}",60
CISSP_Q017,Identity & Access Management (IAM),MCQ,2,Which factor combination exemplifies multi-factor authentication (MFA)?,Password + OTP token,1,Password + PIN,0,PIN + pattern,0,Password + password,0,"MFA combines two or more of: something you know, have, or are.","{""A"": ""Two factors: know + have."", ""B"": ""Both 'know'; not MFA."", ""C"": ""Both 'know/have'? Often single factor."", ""D"": ""Same factor twice.""}",60
CISSP_Q018,Identity & Access Management (IAM),MCQ,2,Which access model assigns rights based on job function?,RBAC,1,ABAC,0,DAC,0,MAC,0,Role-Based Access Control assigns permissions by role.,"{""A"": ""Permissions bound to role."", ""B"": ""ABAC uses attributes/policies."", ""C"": ""DAC lets owners decide."", ""D"": ""MAC uses labels/clearances.""}",90
CISSP_Q019,Identity & Access Management (IAM),MCQ,3,Which protocol is primarily used for federation of identity across organizations?,SAML,1,RADIUS,0,Kerberos,0,LDAP,0,SAML is commonly used for web-based federation (SSO across orgs).,"{""A"": ""Federation across orgs."", ""C"": ""Kerberos is network auth within realm."", ""B"": ""RADIUS is AAA; can back 802.1X."", ""D"": ""LDAP is directory protocol.""}",75
CISSP_Q020,Identity & Access Management (IAM),MCQ,1,Which principle requires users to be granted only access necessary for tasks?,Least privilege,1,Separation of duties,0,Non-repudiation,0,Need to know,0,Least privilege grants minimal required permissions.,"{""A"": ""Minimal necessary access."", ""B"": ""SoD splits critical tasks."", ""D"": ""Need-to-know narrows data access."", ""C"": ""Non-repudiation is auditability.""}",60
CISSP_Q021,Security Assessment & Testing,MCQ,2,Which test best validates exploitability of identified vulnerabilities?,Penetration test,1,Vulnerability scan,0,Code review,0,Tabletop exercise,0,Pen tests attempt to exploit weaknesses to validate impact.,"{""A"": ""Actively exploits to validate risk."", ""B"": ""Scans identify but don't exploit."", ""C"": ""Reviews source for flaws."", ""D"": ""Tabletops simulate response.""}",60
CISSP_Q022,Security Assessment & Testing,MCQ,2,Which metric reflects how easily a vulnerability can be exploited?,CVSS exploitability subscore,1,MTTR,0,ALE,0,ARO,0,Exploitability is part of CVSS and indicates ease of exploitation.,"{""A"": ""Directly measures exploit ease."", ""C"": ""ALE is annualized loss expectancy."", ""D"": ""ARO is occurrence rate."", ""B"": ""MTTR is remediation speed.""}",90
CISSP_Q023,Security Assessment & Testing,MCQ,3,What is the primary purpose of a test plan in security testing?,"Define scope, methods, and exit criteria",1,Prove the tester's skill,0,Guarantee zero defects,0,Replace developer unit tests,0,"Test plans set scope, approach, resources, and success/exit criteria.","{""A"": ""Purpose of a plan."", ""B"": ""Not the purpose."", ""C"": ""Impossible guarantee."", ""D"": ""Different layer of testing.""}",75
CISSP_Q024,Security Assessment & Testing,MCQ,1,"During a web app test, which finding most indicates business logic abuse?",SQL injection,0,Privilege escalation after refund flow,1,Open redirect,0,Missing security headers,0,Abusing refund flow to gain privileges reflects logic abuse and broken authorization.,"{""B"": ""Business logic/authorization flaw."", ""A"": ""Classic injection, not logic-specific."", ""C"": ""Open redirect is separate."", ""D"": ""Headers are hygiene issues.""}",60
CISSP_Q025,Security Operations,MCQ,2,Which process best supports continuous improvement after incidents?,Lessons learned,1,Root cause analysis only,0,Metrics dashboard,0,Threat hunting,0,Formal lessons learned feeds process and control improvements.,"{""A"": ""Captures improvements."", ""B"": ""RCA is part of LL."", ""C"": ""Metrics inform but not sole process."", ""D"": ""Hunting is proactive detection.""}",60
CISSP_Q026,Security Operations,MCQ,2,Which is the most effective control to limit lateral movement post-compromise?,Network segmentation and ACLs,1,Weekly AV scans,0,User training only,0,Daily backups,0,Segmentation contains attackers and limits pivoting.,"{""A"": ""Controls east-west movement."", ""D"": ""Backups aid recovery, not containment."", ""B"": ""Insufficient alone."", ""C"": ""Helpful but indirect.""}",90
CISSP_Q027,Security Operations,MCQ,3,What is the FIRST action in an incident response process?,Preparation,1,Containment,0,Eradication,0,Recovery,0,"Preparation establishes policies, tools, and training before incidents occur.","{""A"": ""First phase per NIST/ISO."", ""B"": ""Containment is mid-process."", ""C"": ""Eradication follows containment."", ""D"": ""Recovery restores services.""}",75
CISSP_Q028,Security Operations,MCQ,1,Which strategy maintains critical services during a data center outage?,High availability architecture,1,Cold site only,0,Manual failover runbooks,0,Immutable backups,0,HA keeps services running through failures; DR handles longer outages.,"{""A"": ""HA provides continuity."", ""C"": ""Runbooks help but need HA design."", ""B"": ""Cold sites are slow to activate."", ""D"": ""Backups help recovery, not continuity.""}",60
CISSP_Q029,Software Development Security,MCQ,2,Which practice most directly prevents injection flaws?,Parameterized queries,1,HTTPS everywhere,0,WAF signatures,0,Input trimming only,0,Parameterized queries/bind variables prevent injection at source.,"{""A"": ""Prevents injection by design."", ""B"": ""Transport security, not injection."", ""C"": ""WAF helps but not primary fix."", ""D"": ""Insufficient alone.""}",60
CISSP_Q030,Software Development Security,MCQ,2,Which model emphasizes small increments with continuous feedback?,Waterfall,0,Agile,1,Spiral with big-bang integration,0,V-Model,0,Agile delivers increments and iterates with feedback.,"{""B"": ""Iterative, incremental, feedback-driven."", ""D"": ""V-model aligns testing with dev stages."", ""A"": ""Sequential with late feedback."", ""C"": ""Not standard modern practice.""}",90
